ID;DAN;LETO;DAN_V_TEDNU;TEDEN;DAN_V_MESECU;DATUM;PRA_DAN;PRA_PRED;PRA_NASL;PRA;BDP1;BDP2;BDP3;URA_VEC;URA_MANJ;MIN_VREDNOST;MAX_VREDNOST;STEVEC;MIN_PRET_TED;MAX_PRET_TED;TEMP_MIN;TEMP_MAX;MIN_VRED_LM1;MAX_VRED_LM1;PMIN_VRED_LM1;PMAX_VRED_LM1;RPMIN_VRED_LM1;RPMAX_VRED_LM1
4449;62;2012;5;9;2;2.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;890853,4908;1434229,47;24;909432,6969;1460356,989;0,9;19,48;985402,7638;1564123,943;970422,2589;1544662,428;972892,3838;1548594,231
4450;63;2012;6;9;3;3.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;847700,8722;1274447,88;24;862467,4604;1286782,006;2;12,16;940082,7072;1395134,805;931479,7128;1384791,814;933850,7129;1388316,681
4451;64;2012;7;9;4;4.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;729152,8904;1189228,15;24;754830,1992;1213354,305;0,28;11,52;810476,2776;1277354,707;793758,988;1268421,188;795779,432;1271649,843
4452;65;2012;1;10;5;5.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;764119,1448;1446258,49;24;781293,9728;1441707,819;1,4;10,74;830522,3256;1513208,875;812977,0704;1493906,75;815046,4324;1497709,359
4453;66;2012;2;10;6;6.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;928242,9312;1561950,73;24;928504,646;1555699,323;-0,86;10,24;1006261,578;1607163,759;976029,6329;1597965,699;978514,0309;1602033,181
4454;67;2012;3;10;7;7.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;915940,1251;1525102,69;24;900300,4465;1483241,469;-3,7;8,46;971254,6298;1569009,051;945383,072;1562908,305;947789,4618;1566886,551
4455;68;2012;4;10;8;8.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;975117,3417;1606647,93;24;952302,6895;1581831,71;-3,68;11,84;1029174,569;1657623,591;1016248,168;1660211,347;1018834,938;1664437,27
4456;69;2012;5;10;9;9.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;939021,131;1515532,76;24;920222,2872;1481511,76;-0,28;11,66;977622,231;1562895,691;971656,145;1563981,171;974129,4107;1567962,148
4457;70;2012;6;10;10;10.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;819700,339;1196841,16;24;791808,507;1190418,353;-4,28;11,76;848227,2485;1236875,137;841582,8863;1251833,783;843725,0619;1255020,216
4458;71;2012;7;10;11;11.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;770936,0022;1249085,26;24;754010,3753;1229770,014;-1,8;13,86;780640,8246;1257997,832;797626,8118;1278395,182;799657,101;1281649,225
